Item ID,translated_item_name,category
3263831000000763127,HEB 200X200X15X9MMX12MTR,Construction Materials
3263831000000763149,HEB 280X280X10.5X18MMX12MTR,Construction Materials
3263831000000763145,IPE 300X150X7.1X10.7X12MTR,Construction Materials
3263831000000763143,HEB 260X260X10X17.5MMX12MTR,Construction Materials
3263831000000763151,Corrugated Sheet 1x6 mtr x 0.50 mm,Construction Materials
3263831000000763147,B.SHEET 1.5X6 MTRX20 MM,Construction Materials
3263831000000763256,GI Sheet 1000 x 3000 x 1.2 mm (1758),Construction Materials
3263831000000763264,Iron 1.5 -inch steel 2.8 mm thick 6 m,Construction Materials
3263831000000763272,HR Sheet 5.8x1000x2000mm,Construction Materials
3263831000000763280,Iron 1 inch steel 1.5 mm in length 6 m,Tools & Hardware
3263831000000763258,Black iron sheet size 1000*2000 mm thick mm 9.80,Metals & Steel
3263831000000763266,Iron rectangle size 20*30 mm thick 1.5 mm length 6 m,Construction Materials
3263831000000763274,HR Sheet 3.0x1000x2000mm,Office & Furniture
3263831000000763282,HR Sheet 1.5x1220x2440mm,Construction Materials
3263831000000763254,Tube 40x40x1.20x6000MM,Construction Materials
3263831000000763262,Pipe 1.25 inch x 1.5 x 6000 mm,Construction Materials
3263831000000763270,HR Sheet 7.80x1000x2000mm,Office & Furniture
3263831000000763278,Iron box size 16*16 mm thick 1.5 mm length 6 m,Metals & Steel
3263831000000763260,Monster Milm 10*6000 mm,Construction Materials
3263831000000763268,Simple iron 40*8*6000 mm,Metals & Steel
3263831000000763276,Tube 25x25x1.2x6000mm,Electrical & Lighting
3263831000000782246,GI Wire Mesh 12x12x1MM (ROLL),Electrical & Lighting
3263831000000782254,Expansion Bolt M12x150MM,Tools & Hardware
3263831000000782242,"HDG Angel 65x65x6mm, 6M",Miscellaneous & Logistics
3263831000000782250,HDG Stiffiner Plate 50x50x5MM,Construction Materials
3263831000000782240,"HDG Grating 1000 mm x 6000mm, PLAIN, open ends, panels, Mesh sizes 30 mm x 100 mm (center to center)",Construction Materials
3263831000000782248,HDG Angel 90x90x6MM Long 130MM Long 130MM with 4 holes,Construction Materials
3263831000000782256,GI Bolt M16x50MM long,Metals & Steel
3263831000000782244,"HDG IPEA 180 (177x91x6.5x4.3), 12 M",Construction Materials
3263831000000782252,Expansion Bolt M16x160MM,Tools & Hardware
3263831000000782278,"HDG IPEA 180 (177x91x6.5x4.3), 12 M",Construction Materials
3263831000000782286,Expansion Bolt M16x160MM,Metals & Steel
3263831000000782274,"HDG Grating 1000 mm x 6000mm, PLAIN, open ends, panels, Mesh sizes 30 mm x 100 mm (center to center)",Construction Materials
3263831000000782290,GI Bolt M16x50MM long,Construction Materials
3263831000000782280,GI Wire Mesh 12x12x1MM (ROLL),Electrical & Lighting
3263831000000782288,Expansion Bolt M12x150MM,Tools & Hardware
3263831000000782276,"HDG Angel 65x65x6mm, 6M",Electrical & Lighting
3263831000000782284,HDG Stiffiner Plate 50x50x5MM,Construction Materials
